Name,Symbol,,Price,1h %,24h %,7d %,Market Cap,Volume,Circulating Supply
Bitcoin,BTC,Buy,"$67,032.49",0.09%,1.16%,1.06%,$1.34T,"$1,339,889,021,786","$43,263,201,778"
Ethereum,ETH,Buy,"$1,958.52",0.06%,1.17%,1.94%,$236.38B,"$236,378,772,817","$19,723,173,340"
Tether,USDT,Buy,$0.9992,0.00%,0.03%,0.02%,$183.76B,"$183,755,750,194","$83,202,221,407"
XRP,XRP,Buy,$1.36,0.13%,2.29%,0.85%,$82.94B,"$82,936,575,798","$2,563,435,932"
BNB,BNB,Buy,$598.39,0.26%,2.92%,5.82%,$81.6B,"$81,596,920,678","$1,676,450,888"
USDC,USDC,Buy,$0.9999,0.01%,0.01%,0.05%,$73.13B,"$73,131,525,810","$14,028,027,528"
Solana,SOL,Buy,$79.94,0.25%,1.52%,1.82%,$45.39B,"$45,394,911,868","$3,651,660,856"
TRON,TRX,Buy,$0.2771,0.01%,0.34%,3.18%,$26.25B,"$26,253,379,155","$573,885,840"
Dogecoin,DOGE,Buy,$0.09337,0.53%,0.15%,0.20%,$15.75B,"$15,754,106,269","$755,990,856"
Bitcoin Cash,BCH,Buy,$524.34,0.42%,2.32%,11.60%,$10.48B,"$10,483,946,551","$427,834,362"
Cardano,ADA,Buy,$0.2627,0.18%,0.88%,0.48%,$9.48B,"$9,476,012,102","$446,663,475"
Hyperliquid,HYPE,Buy,$30.26,0.05%,3.04%,11.80%,$7.85B,"$7,850,391,868","$265,261,751"
UNUS SED LEO,LEO,Buy,$8.27,0.03%,2.26%,20.63%,$7.62B,"$7,624,717,906","$4,326,428"
Monero,XMR,Buy,$342.75,0.40%,1.77%,13.16%,$6.32B,"$6,322,731,114","$71,359,591"
Ethena USDe,USDe,Buy,$0.9986,0.01%,0.01%,0.07%,$6.31B,"$6,311,580,699","$97,754,902"
